date,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
2013/3/1,0.268867925,0.346698113,0.328888889,0.379746835,0.024390244,0.626204239,0,0.247058824,0.228346457,0.005198124,0.065326633,0.243867821,0.249042146,0.256900212,0.181818182,0,0.666666667
2013/3/2,0.311320755,0.316037736,0.36,0.278481013,0.182926829,0.672447013,0,0.435294118,0.377952756,0.009799075,0.117252931,0.264489608,0.237547893,0.280254777,0.181818182,0.033333333,0.833333333
2013/3/3,0.419811321,0.358490566,0.491111111,0.303797468,0.158536585,0.595375723,0,0.252941176,0.401574803,0.013680704,0.137353434,0.283147415,0.333333333,0.299363057,0.181818182,0.066666667,1
2013/3/4,0.408018868,0.341981132,0.477777778,0.253164557,0.195121951,0.497109827,0,0.388235294,0.496062992,0.01634084,0.157453936,0.283147415,0.318007663,0.299363057,0.181818182,0.1,0
2013/3/5,0.438679245,0.375,0.513333333,0.189873418,0.182926829,0.393063584,0,0.535294118,0.614173228,0.023724077,0.256281407,0.339120836,0.298850575,0.388535032,0.181818182,0.133333333,0.166666667
2013/3/6,0.54009434,0.471698113,0.591111111,0.405063291,0.12195122,0.421965318,0,0.341176471,0.448818898,0.01653085,0.189279732,0.362688592,0.291187739,0.426751592,0.181818182,0.166666667,0.333333333
2013/3/7,0.525943396,0.445754717,0.648888889,0.202531646,0.158536585,0.369942197,0,0.358823529,0.527559055,0.019177415,0.179229481,0.332246907,0.237547893,0.352441614,0.181818182,0.2,0.5
2013/3/8,0.625,0.556603774,0.744444444,0.253164557,0.134146341,0.227360308,0,0.370588235,0.606299213,0.021416816,0.147403685,0.24975976,0.314176245,0.263269639,0.181818182,0.233333333,0.666666667
2013/3/9,0.570754717,0.558962264,0.591111111,0.417721519,0.12195122,0.242774566,0,0.182352941,0.377952756,0.014752902,0.388609715,1,0.176245211,1,0.181818182,0.266666667,0.833333333
2013/3/10,0.398584906,0.45754717,0.444444444,0.658227848,0.048780488,0.464354528,0,0.223529412,0.196850394,0.010450537,0.130653266,0.526680896,0.172413793,0.86836518,0.181818182,0.3,1
2013/3/11,0.337264151,0.372641509,0.317777778,0.405063291,0.341463415,0.373795761,0,0.382352941,0.307086614,0.016938014,0.117252931,0.18887639,0.107279693,0.197452229,0.181818182,0.333333333,0
2013/3/12,0.464622642,0.488207547,0.493333333,0.341772152,0.207317073,0.342967245,0,0.317647059,0.385826772,0.020100319,0.336683417,0.799674072,0.107279693,1,0.181818182,0.366666667,0.166666667
2013/3/13,0.426886792,0.476415094,0.413333333,0.607594937,0.317073171,0.431599229,0,0.4,0.409448819,0.02642493,0.42881072,0.800656062,0.088122605,1,0.181818182,0.4,0.333333333
2013/3/14,0.367924528,0.422169811,0.335555556,0.493670886,0.451219512,0.49132948,0,0.311764706,0.307086614,0.023981948,0.184254606,0.218336085,0.168582375,0.269639066,0.181818182,0.433333333,0.5
2013/3/15,0.379716981,0.351415094,0.413333333,0.215189873,0.451219512,0.412331407,0,0.405882353,0.480314961,0.025827757,0.266331658,0.268417567,0.195402299,0.401273885,0.181818182,0.466666667,0.666666667
2013/3/16,0.441037736,0.507075472,0.382222222,0.253164557,0.524390244,0.408477842,0,0.329411765,0.519685039,0.030075833,0.323283082,0.299841242,0.084291188,0.473460722,0.181818182,0.5,0.833333333
2013/3/17,0.516509434,0.5,0.588888889,0.341772152,0.426829268,0.36416185,0,0.264705882,0.385826772,0.025542742,0.175879397,0.229137973,0.337164751,0.25477707,0.181818182,0.533333333,1
2013/3/18,0.573113208,0.525943396,0.637777778,0.240506329,0.12195122,0.23699422,0,0.2,0.535433071,0.023235481,0.097152429,0.258597668,0.233716475,0.27388535,0.181818182,0.566666667,0
2013/3/19,0.580188679,0.566037736,0.617777778,0.202531646,0.158536585,0.159922929,0,0.247058824,0.559055118,0.028555754,0.155778894,0.302787211,0.183908046,0.32059448,0.181818182,0.6,0.166666667
