date,ave_C,min_C,max_C,ave_ws,ave_rh
,24,20.2,29.7,1.7,60
,22.8,21.1,25.2,2.2,60
,21.8,18.4,25.2,2.3,60
,21.8,17.3,27.7,1.8,69
,24.5,19.9,31,1.7,62
,24.7,21.1,29.1,2,60
,26,20.8,32.2,1.8,58
,24.2,17.2,33.8,1.2,57
,26.6,18.6,35.3,2,48
,27.6,21.2,34.5,3,45
,28.6,22.6,35.5,2.6,47
,27.6,23.1,32,3.6,49
,25.6,22.4,29.3,4.8,61
,19.8,18.4,26.6,1.7,90
,21.2,19.1,24,1.9,85
,21.2,18.5,26.1,2.7,84
,22,19,26.7,3.7,79
,16.1,14.4,23.6,3.9,90
,18.2,15.4,23.1,2,71
,17.3,13.8,21.1,1.3,62
,17.1,13.4,21.7,1.3,63
,19.1,14.9,26.1,1.2,63
,21.2,14.7,31.2,1.9,59
,22.2,16.5,28.9,1.7,59
,22.8,19.1,28.3,3.6,61
,22.9,19.4,29.1,2,57
,21,17.3,26.1,3.1,49
,19.8,14.7,26.8,1.2,60
,20.9,15.3,28,1,60
,22,17,28.5,2.5,53
,22.2,18.1,27.2,2.9,45
,21.2,14.9,28,1.7,51
,21.8,16.2,28.2,1.3,55
,21.2,14.3,28.5,1.3,56
,23.6,16.8,31,2.4,46
,20.7,14,28.8,0.9,42
,24.1,18.3,34.1,2.2,42
,22.8,16.8,29.4,1.6,50
,16.8,14.5,24,1.8,66
,14.6,12.8,18,2.2,71
,12.8,10.7,15.2,2.7,73
,13.4,9.7,19,1.4,77
,13.5,10.7,17.6,1.2,79
,13.8,9.8,19.5,0.8,77
,12.5,10.6,14.9,2.8,43
,14.5,9.7,21.7,1.9,51
,14.6,8.8,21.6,1,57
,15.1,9.3,22.1,1.5,62
,14.6,10.1,19.5,2.6,39
,12.5,9.4,16.4,3.1,45
,12,8.2,17.3,1.4,52
,12.6,7.8,19.1,1.6,60
,13.4,8.2,20.5,0.9,67
,13,10.2,16.1,1.8,66
,11.1,10.1,13.9,3.3,87
,10.4,9.4,11.6,1.9,91
,11.6,10,15,1.2,88
,11.5,8.5,15,1.3,87
,11.2,6.6,15.4,1,84
,12.8,10.9,15.2,2.9,76
,12.8,10.6,17.8,1.9,80
,11.9,7.7,18.6,1.8,77
,10.1,6.4,14.1,2.4,79
,11.3,10.1,12,2.3,81
,10.3,9.2,11.3,1.4,89
,9.3,8.8,10.2,1.8,78
,9.2,8.5,10.9,1.6,69
,9.5,8.3,10.7,1.4,72
,9.8,8.5,11.7,1.2,74
,9.6,6.4,14.9,2.8,47
,8.7,3.3,16,1.2,56
,9.7,5.4,17.1,2.9,50
,7.6,2.4,13.4,1.6,51
,6.6,1.6,13.7,0.7,61
,6.1,0.6,13.7,0.8,67
,7,1.3,14.7,1.3,66
,6.1,0.7,10.9,1.3,58
,6.3,4.5,9.1,1.8,70
,6,5,6.8,2.3,93
,6.6,3.5,11.8,2.8,63
,5.9,1.3,11.9,1,68
,5.9,0.8,13.3,2.1,62
,4.7,2,9.7,2.7,37
,4,-0.7,10,2.6,42
,3.1,-2.7,9.6,1.7,50
,6.1,0.3,13.9,2.1,46
,4.7,-1,12,1.3,55
,4.2,-1,10.7,1.1,63
,7.1,2.5,14.4,2.4,48
,5.3,-0.5,9.9,2.4,52
,8.2,4.9,12.8,2.7,34
,3.9,-1.7,10.3,1.1,54
,4.1,-0.7,10.6,1.1,61
,7,2.2,11.6,2.6,47
,3.8,-0.5,9.5,1.7,37
