date,ave_C,min_C,max_C,ave_ws,ave_rh
,7.6,2.2,14.1,1.5,49
,10.9,3.6,20.1,1.6,51
,8.8,6.6,15.7,5.9,38
,0.8,-1.3,6.6,3.8,75
,4.9,-0.4,10.2,1.5,62
,6.1,3.2,9.1,1.9,38
,4.8,-1.3,12.1,0.8,51
,6.7,1.2,12.7,0.9,44
,7.1,0.1,14.9,1.5,44
,7.3,0.9,15.1,0.9,48
,8.6,5.3,13.4,2.4,55
,9.4,6,14.2,2.1,27
,6.8,0.5,13,2.6,27
,10.6,4.8,18.7,1.3,30
,10.9,6.1,16.4,1.6,36
,10.7,6.6,16.1,1.4,37
,9.2,3.8,13.4,2.5,24
,8.6,2.5,15.4,1.4,33
,8.9,3.2,14.8,2.7,33
,9.1,5.2,14.5,2.8,30
,10.5,8.1,13.9,1.3,34
,10.3,8.9,12.6,2,58
,7.9,6.4,10.1,3.1,91
,3.3,0.5,6.4,2.9,90
,6,2.7,9.4,1.2,78
,5.8,5.3,8.6,1.9,81
,7.4,4.2,11.2,1.7,72
,10,7.7,13.5,1.7,64
,8.8,4.4,13.6,2.6,76
,10.2,9.3,11.3,3.2,68
,10.5,7.5,15.5,1.7,63
,9.9,5.9,14.7,3.6,69
,11,8.4,15.1,3.7,62
,7.8,6.8,11.3,3.9,79
,10.5,5.1,18.1,2.6,59
,12,6.6,17.7,2.2,26
,11.6,4.6,17.3,1.5,33
,11.7,4.4,19.9,1.5,42
,15.1,8.9,21.4,1.6,38
,11.9,9.1,17,2.5,55
,13.2,10.7,17.2,2.7,72
,14.1,8.1,21.2,1.5,53
,14.1,7.2,21,1.3,36
,14.5,6.9,21.3,1.6,35
,15.3,13.1,18.3,2.2,67
,15.9,12.6,20.6,2.9,75
,15.2,11.9,19.8,2.2,77
,17.3,11.1,24.5,3.9,68
,16.8,15.1,22,3.2,68
,15.7,14.7,17.1,2.4,78
,10.4,7.9,15.9,3.7,89
,8.2,6.2,11.8,1.6,90
,14,8,21.3,1.8,72
,16.7,9.7,24.6,0.9,58
,18.6,11.6,26.6,2.1,53
,20.1,12.8,27.6,1.5,50
,19.7,16.1,23.8,2.2,55
,14.9,12.5,19,2.6,77
,20.7,12.8,29.4,3.2,52
,23.3,19.2,28.1,1.5,33
,16.1,12.5,23.5,3.5,59
,16.2,9.6,23,3.1,52
,15.9,11.2,20.9,1.5,27
,15.9,7.4,23.6,1.6,41
,20,13,28.9,1.5,47
,21.2,14,27.3,2,48
,17.9,14.5,25.3,2.7,71
,14.3,11.5,18.1,3.6,49
,17.3,9.9,24.5,1.5,50
,19.3,10.6,28.3,1.2,41
,21,12.4,30.7,0.9,43
,22.4,14.7,28.9,2,36
,24.4,17.8,29.8,3.1,47
,20.6,18.7,26.3,2.7,60
,15.6,13.5,21.9,2.4,91
,18.3,13.4,23.6,2.3,65
,18,15.6,20.5,2.3,45
,18.5,13.3,24.8,1.6,39
,15.9,12,21.5,1.9,60
,18.5,11.8,26.4,2.2,51
,21,14,31.7,1.4,46
,23.7,16.6,28,1.7,45
,24.7,19.5,31.5,3.1,38
,24.9,15.6,34.5,1.9,31
,26.2,20.8,31.9,1.8,36
,21.6,19.5,27.8,1.7,58
,17.2,15.6,22.9,1.9,82
,20.7,13.4,30.4,2.1,59
,24.3,15.6,32.8,1.8,39
,22.8,20.4,26.2,2,55
,23.1,18.2,29.5,1.5,62
,25.1,20,30.4,3.5,53
,25.6,21.6,30.8,2.6,56
,19.9,15,26.4,3.1,82
,19.2,13.3,25.6,2.5,63
,21.4,15.3,27.1,1.4,49
,23.6,16.6,31.5,2.9,37
,25.6,18.2,34.6,2,31
,27.9,20.5,36,2.7,30
,28.5,18.7,36.4,1.7,32
,22.2,20.2,31.5,1.4,67
,24.3,18.9,30.7,1.8,64
,26.1,19.6,32,1.1,57
,28.7,23.1,35.7,1,48
,29.3,20.5,36.3,2.4,37
,23.1,17.9,32,3.4,65
,16.3,15.7,17.9,6.3,95
,16.3,15.3,17.7,4.2,93
,22.2,15.2,31,1.9,66
,22.6,17.9,27.9,2.4,66
,22.5,18.2,28.5,1.5,79
,21.9,20,25,2.1,82
,23.7,18.3,31.2,1.7,69
,24.8,21.4,27.7,1.6,59
,25.6,21,30.9,1.9,53
,26.9,20.2,32.8,2.1,46
,25.4,22.6,29,3.6,58
,25.3,20.5,31,1.5,50
,27.5,20.9,33.4,1.9,50
,26.8,22.7,31.9,2.2,49
,28.3,22.9,34,1.7,43
,27.2,23.6,33.8,2.1,49
,27.7,21.7,33.3,2,49
,27.9,23.5,32.3,2.6,48
,28.5,21.8,35.5,1.7,48
,28.5,23.8,33.9,3.4,43
,28.2,22.3,35.3,2.3,37
,28.8,22.3,34.1,1.4,37
,29.8,22.4,36.7,1.3,36
,30,23.5,37.2,2.7,40
,30.8,24.6,36.6,2,41
,29.3,24.9,35.6,2.4,48
,28,23.1,33.3,1.6,53
,29.2,23,35.5,1.7,50
,30.9,25,36.8,2.2,40
,31.4,25.2,38.3,1.1,38
,31.4,26.2,37.2,1.4,41
,27.8,26.6,33.3,3.3,62
,23.7,20,28.5,2.6,85
,27.8,20.9,36.4,2.1,54
,28.2,22.5,32.3,2.3,49
,30.1,24,37.8,2.6,46
,31.7,23.8,40.2,2.2,45
,32.9,25.9,41.5,2.2,37
,32.2,26.7,40.6,1.4,45
,33.5,26.4,39.3,1.7,44
,32,26.7,39.3,2.2,45
,30.2,27,35.3,3,47
,28,24.8,32.3,3,64
,28.8,24.1,33.4,2.8,62
,31.2,26.2,37.9,3.5,56
,32.9,27,39.2,2.8,50
,34.4,28.7,40.7,2.9,48
,34.6,29.6,41.1,1.8,49
,34,30.4,41.1,2.4,54
,34.8,29.3,41.6,2.1,51
,35.7,30.1,41.8,1.8,37
,35.2,29.8,39.6,3.4,46
,33.2,28.7,39.3,3.1,54
,30.6,25.4,38.6,3.3,66
,23.2,21.6,25.8,2.1,94
,22.1,20.8,25.1,2.7,89
,25.4,21.1,31.3,1.1,74
,27.7,22.2,33,2.6,64
,28.8,25,33.2,2.9,59
,30,26.6,35.6,1.5,64
,31.7,26.2,37.9,1.6,55
,31.4,24.9,37.3,1.7,47
,32.7,27.3,39.1,2.3,50
,30.2,26.7,34.6,1.1,66
,23.6,21.1,27.2,2.6,91
,25.8,20.3,33.5,2.6,71
,29.6,23.4,36.5,3,49
,30.3,22.3,38.7,1.6,46
,30.3,24.5,37,1.5,46
,30.6,25,36.5,2.3,50
,25.3,23.4,32.6,2.9,79
,26.6,22.3,32.6,1.2,72
,28.5,23,34.3,2.3,64
,30.1,25.1,35.2,2.8,57
,29.9,25.4,34.9,2.9,56
,27.4,23.5,32,3.3,66
,26.5,24.9,29.1,2.7,79
,25.8,24.2,29.3,3.5,81
,26.9,23.2,31.4,2,74
,26.6,22,33.6,2.4,79
,26.3,22.7,31.8,2.5,61
,27.8,22.6,35.4,2.8,54
,22.3,18.6,28.8,2.1,70
,20.4,18.5,22.5,2.7,82
,23.2,18.9,30.1,2.5,78
,20.5,19,23.8,1.7,90
,17.6,15.8,20,3.6,96
,16.5,15.2,18.3,1.6,97
,21.1,17.2,27,1.6,76
,21,19.5,23.8,2.6,86
,21.8,19.5,26,1.1,87
,19.4,18.1,22.9,2.9,83
,18.4,17.6,19.8,1.8,92
,18.3,18,19.1,1.8,96
,21.2,16.6,29,1.6,75
,23,16.5,29.5,1.8,70
,22.4,20.6,26,1.9,75
,19.8,18.4,22.9,1.5,94
,21.6,17.8,27,2.3,79
,22.5,15.9,29.1,1.7,67
,23,17.1,29.3,2.4,68
,25.2,19.2,30.1,2.9,48
,23.8,21.1,27.8,2.7,60
,23.8,20.9,27.3,2.6,64
,19.7,18.1,25.1,1.7,87
,21.3,17.4,27,1,83
,23.9,20.1,28.6,1.8,76
,23.9,21.6,26.5,2.2,69
,24.3,18.5,29.7,1.7,65
,24,18.7,30.6,1.5,63
,21,18.4,25.1,1.9,68
,21.4,16.1,26.8,1.6,66
,22.8,18.7,27.7,1.9,68
,20.3,18.9,24.7,2.4,91
,18.9,17.7,20.7,2.5,91
,17.3,16.9,18.5,2.4,93
,17.9,13.5,23,2.6,84
,20.1,18,23.9,1.9,80
,18.2,16.3,20.6,2.4,86
,18.2,17.5,21,1.2,87
,18.2,16.2,21,1.5,90
,13,11.4,18.1,4.5,94
,11.8,10.6,13.4,3.8,89
,12.7,10.4,15.6,2.8,82
,15.7,12.9,19,2.5,79
,16.9,15.1,19.3,1.4,77
,16.9,16.6,18.2,1.6,91
,13.4,11.7,16.6,3.8,82
,8.8,7.3,11.7,3,88
,7.8,6.7,9.2,1.3,94
,11.7,8.2,17.6,1.5,81
,12.5,10.7,14.6,2,81
,13.3,12.5,14.4,1.6,83
,12.5,11.3,13.9,3,87
,12.2,11.4,13,3.6,87
,12.1,11.2,13.5,3.1,83
,13.9,11.9,17.4,1.5,82
,14.1,10.7,18.9,2,84
,14.4,11.7,19.8,1.4,84
,15.8,12.7,19.5,1.8,81
,15.1,11.6,19.4,1.1,82
,16.3,13.6,20.3,3.4,79
,15.1,12.2,18.6,3.8,71
,14.1,13,16.8,1.8,81
,15.2,11.6,22.2,1.8,76
,13.7,8.7,20.3,1.2,81
,14.6,11.6,18.1,1.6,70
,11.9,8.4,15.3,2.1,53
,11.1,9.3,14.4,1.7,73
,10.8,10.4,11.6,0.8,86
,11.8,10,13.5,1,89
,15.4,12.4,22.3,2.1,71
,15,10.9,20.5,1.8,61
,12.2,9,16.2,3.3,59
,11.5,7.7,16.8,1.6,70
,13.1,7.2,19.6,1.2,75
,15.5,11.6,21.6,2,57
,13,7.9,18.9,1.5,63
,11.6,9.3,15.6,2.1,80
,10.5,8.5,12.5,1.9,56
,7.4,5.9,10.7,2.5,55
,8,3.7,13.8,2,69
,8.1,3.6,14.4,1.3,80
,7.1,4.1,11.4,1.8,69
,6.1,1.7,11.8,1.8,69
,6.6,2.7,10.1,1.5,67
,9.3,7.4,11.5,1,73
,6.5,5.8,10,2.2,39
,4.4,2.3,6.1,2.5,65
,5.2,0,10.9,1.5,66
,7.9,3.3,12.6,2.1,51
,7.2,3.6,11.2,2.3,32
,6.9,2.2,12.6,2.1,39
,5.1,-0.1,10.4,2.1,43
,7.5,1.7,16.6,2,44
,7.3,-0.3,13.2,3.5,42
,6.1,2.8,10.1,2.6,48
,7.9,2.9,14.5,2.3,46
,6.5,5.1,9.4,2.9,51
,4.4,0.2,9,2.5,64
,1.7,-1.2,5.4,1.8,50
,3.5,-1.7,10.6,1.6,59
,6.2,1.7,14.4,1.2,57
,4.3,-1.1,9.7,1.4,48
,1.7,-3,7.8,1.7,42
,2.7,-1.3,8.3,1.7,46
,3.7,-1.7,10.1,1.3,44
,2.4,-1.9,6.6,1.2,28
,4.6,-1.5,9.4,2.4,47
,4.8,-0.3,10.5,1.1,32
,2.4,-3.1,7.4,0.8,42
,4,2.4,5.5,2.6,41
,0.3,-0.7,2.6,3.5,54
,1.1,0,2.1,1.6,62
,4.2,1.4,8.7,1.9,53
,1.2,-2.2,5.7,1.9,43
,-0.5,-5.4,5.1,1.6,43
,2.4,-3,9.3,2.7,40
,2.5,-3.6,10.7,1.8,35
,4.2,-1.2,11.1,2.9,40
,2,-3.5,8.7,1,46
,2.8,-2.1,8.8,1.2,50
,4.4,-0.5,11.5,1,48
,5.3,1.2,9.5,2.2,28
,1.4,-3.3,5.4,1.3,43
,2.9,-1.8,8.8,1.8,47
,2.1,-2.1,7,1.3,54
,2,-2.4,7.7,1.2,57
,6.1,2.5,9.8,2.8,40
,5.7,1.9,10.7,1.9,36
,1.7,-2.9,7.4,1,48
,2.1,-2.4,7.7,1.3,55
,0.9,-1.4,3.1,1.3,68
,-0.1,-2.9,1.2,4.9,75
,-3.4,-4.3,-2.5,3.8,83
,-3,-4.1,-2,2,73
,-2.4,-3.2,-0.2,1.3,92
,-1.2,-3,0.4,2.2,84
,-1.5,-3.9,2.2,3.1,43
,-0.9,-6.1,5.4,3,52
,0.1,-4.5,5.8,1.9,45
,-1.6,-7,4.2,1.4,59
,-3.5,-7.3,0.8,1.3,66
,-2.8,-5.4,1.3,1.3,72
,-1.4,-6.1,3.9,1.8,68
,-1.1,-4.3,2.9,2.6,73
,0.7,-2.8,4.8,1.8,71
,2.8,-1.5,8.4,2,60
,2.4,-0.5,5.8,1.4,59
,4.2,0.9,9.4,1.6,59
,3.9,-0.5,9.9,1.1,64
,3.3,0.1,8.4,1.6,71
,3.5,-0.7,9.7,1.2,69
,1.1,-0.5,6,3.6,63
,-1.7,-2.9,1.5,4.7,71
,-4.3,-5.2,-2.8,4.1,80
,-4.4,-6.5,-2.4,3.9,68
,-4.4,-5.7,-2.4,3.1,76
,-3.9,-5.5,-1.2,2.1,69
,-5.8,-9.8,-1.2,1.9,50
,-3,-6.5,0.9,3.3,49
,-1.3,-5.9,3.6,2.4,37
,-1.5,-6.3,4,1.4,53
,-1,-2.9,1.3,2,38
,-3.3,-7.3,2.1,2.2,42
,-2.1,-7.2,3.3,1.2,48
,-0.1,-6.1,6.6,1.6,48
,0.1,-5.7,6.7,1.3,51
,0.5,-3.3,5.8,1.2,53
,1.2,-3.2,6.2,2.7,45
,4.7,0.9,8.8,2.1,38
,3.2,1.4,6.3,2.7,25
,0.7,-2.2,7.7,1.6,33
,1.7,-4.5,10.4,1.7,35
,3,-4,13.8,1.5,45
,6.8,0.6,14.5,1.4,42
,6.8,4.3,10.1,3.3,29
,6.3,0.4,13.5,1.4,45
,6.1,5,9.8,3.1,48
,6.6,3.3,10.7,1.4,58
,7.3,3.3,11.9,2.4,64
,6,3.1,10.1,2.7,71
,4.7,1.8,9.1,1.3,67
,6.8,1.1,15,2,47
,8.8,0.2,16.6,2.4,47
,11.2,6.8,16.1,1.5,23
,7.6,1.1,15.3,2.1,40
,10.5,4.3,17.6,0.9,46
,11.6,9.7,14.6,1.4,61
,12.1,4.1,22.6,1.4,56
,13.2,11.3,17.1,3.7,34
,9.5,4.7,14.8,1.9,55
,11.3,4.1,19.8,1.1,63
,11.6,7.4,16.9,2.6,61
,7.1,3.5,11,2.7,85
,6.2,5,8.3,3.8,87
,6.8,3.2,12.9,2.7,74
,8.1,2.6,14.6,2.5,65
,9.2,3.4,16.5,2.3,60
,11.5,4.9,18.6,1.4,62
,14.2,9,19.7,2.1,61
,14.8,7.7,24,1.4,61
,17.4,9.8,26.2,1.7,54
,17.5,10.2,26.8,1.1,50
,17,10.3,24.8,3.8,51
,10.8,7.5,18.3,8,37
,5.9,4,10.9,2.7,67
,6.5,4.5,9.3,2,80
,9.4,7.3,12.7,1.7,84
,9.9,6.3,14.1,2.6,62
,11.8,5.6,20.2,1.2,59
,14.6,7.4,23.4,2.2,47
,14.7,8.4,21.4,2.1,47
,15.6,10.4,20.4,1.9,55
,16.5,12.8,21.6,3.2,51
,17.9,11.4,26.4,1.6,56
,21.3,13.4,30.4,2.3,33
,21.4,14.3,29.3,1.4,42
,20.7,15.5,26.5,4.1,49
,17.8,13.7,24.2,3.9,55
,19.2,15.9,23.1,2.4,62
,22.1,17.9,29,2.5,36
,20.9,12.8,29.1,1.5,42
,22.2,14.3,29.9,1.2,46
,13.1,10.4,26,7.7,51
,10.9,6.8,15.6,2.2,77
,11.5,8.3,15.4,4.5,19
,11,2.8,20.6,1.6,28
,17.1,8.1,28,1.9,37
,19,10.7,29.4,1.2,40
,20.9,14.4,27.7,1.5,39
,18.8,16.4,22.8,4,39
,13.1,12.2,20,3.8,89
,10.8,10.4,12.6,2.9,83
,12.9,9.5,17.1,2.4,53
,13.4,6.4,20.2,2.2,47
,15.1,7,22.3,2.6,53
,18.4,10.4,27,1.4,58
,20.6,13.1,28,2.5,63
,24.9,17.3,35,3.8,48
,21.9,17.8,29.6,2.2,60
,20.7,16.4,27.2,2.1,76
,20.3,18.9,23.7,2.9,81
,17.5,15.5,20.8,3.2,74
,15.7,13.8,17.7,2.3,81
,14.8,12.7,17.9,1.8,79
,18.3,11,27.4,2,66
,21.4,12.8,28.6,1.8,56
,20.4,16,26.3,1.9,54
,22.8,15.9,30.4,2.1,52
,22.7,18.1,28.4,2,50
,23.2,19.2,30.3,2.3,47
,21.5,17.6,25.6,1.9,28
,21.3,13.5,27.3,2.3,38
,22.1,18.3,27.2,2.6,51
,19.2,14.5,24.7,3.1,74
,15.2,13.7,17,2.3,85
,17.4,11.5,23.8,2,73
,17.5,14.3,20.6,1.9,76
,19.3,16.3,23.8,1.8,70
,17.7,15.8,22.3,2.2,82
,19.9,14.7,26.4,2.8,63
,23,15.1,32.5,1.9,50
,25.5,16.7,32.9,1.7,45
,26.9,20.2,33.9,2.2,51
,27.8,21.8,34.1,2.2,50
,28.1,21.9,35.3,1.9,57
,24.6,23.7,31.1,2.3,64
,24.9,20.3,30.5,2.4,61
,21.2,20.1,27.3,5,77
,18,16.3,20.4,4.9,80
,17.5,16.1,20.1,3.3,77
,19,12.5,25.8,3.8,48
,19.2,13.7,25.6,2.4,50
,23.8,19,29.5,2.4,47
,24.9,20.4,30.3,2.7,55
,18.6,14.2,27.4,4.2,70
,21.8,16,29.5,2.2,48
,22.4,16,28.6,1.9,47
,24.1,18.8,32.9,1.4,44
,23.9,18.7,28.1,1.6,48
,24.8,16.6,31.9,2.3,47
,24,20.4,28.5,3.1,45
,24.2,17.7,30.4,1.4,43
,23.6,17.7,30.8,2.7,49
,24.6,18.2,32.6,2.5,38
,26.4,16.8,35.8,0.9,30
,28.6,19.4,38.2,1.6,33
,27.5,24.6,31.6,2.3,33
,18.3,16.6,27.4,2.7,82
,21,14.3,27.6,1.8,70
,24.9,16.7,34.4,1.5,51
,27.4,18.4,36,1.7,41
,29.1,22.1,36.8,2.4,35
,29.4,22.3,38,1.4,40
,28.8,22.4,35.6,3.1,38
,29.6,24,36.1,2.3,39
,25.1,22.7,30.7,2.9,61
,25.9,19.3,31.6,1.7,63
,21.8,20.4,28.3,2.9,89
,24.7,19.7,30.5,1.3,74
,28.3,23.4,33.8,2.7,61
,29.4,23.6,34.7,2.6,48
,28.5,23.1,34.7,2.7,45
,29.8,24.3,36,2.9,43
,29.6,25.8,36.2,3.5,53
,26.7,24.6,29.5,2.7,79
,24.5,22.3,27,1.7,86
,27.5,24,31.3,1.5,79
,30.2,24.4,37,2.4,59
,29.8,24.8,35.8,2.8,57
,29.5,26.3,35.2,3.9,61
,29.1,24.5,34,3.7,55
,23.3,20.6,31.1,2.7,82
,21.1,20.1,22.2,1.9,92
,21.7,20.9,23,2.3,96
,25,21.5,30.3,1,80
,28,23.3,32.9,2.4,69
,28.9,24,33.1,1.7,61
,24.2,23.2,30.7,2,88
,22.5,21.3,23.9,2.6,94
,22.2,20.7,24.2,3.9,92
,22.9,21.3,24.5,2.1,87
,25.4,21.9,29.7,1.2,80
,27.2,24.2,31.6,1.5,78
,28.9,24.9,33.6,2.4,75
,30.6,26.9,35.9,2.6,70
,31,27.4,34.6,2.1,63
,28.6,23.1,35,3.5,73
,32.6,27,38.9,3.4,58
,34.6,30.9,40.1,3.2,47
,33,27.3,38.6,3,56
,31.6,26.2,36.7,1.8,55
,32.8,28.6,36.9,4.6,57
,31.3,27,35.9,4.8,55
,31.7,27.2,37.3,2.3,50
,32,27,37.6,2.3,53
,30.9,23.4,37.8,3,62
,29.5,25.2,34.2,3.9,68
,30.4,26.7,35.2,4.5,64
,30,26.8,35.5,4.2,64
,29.7,27.2,34.4,3.7,65
,28.9,25.9,32.9,2.9,69
,28.1,25.6,34.7,4.3,74
,30.7,25.7,36.5,3.1,61
,31.1,27,35.7,3.3,60
,30.8,25.9,37,2.4,55
,30.7,26.2,35.3,2,59
,31.2,26.9,36.5,3.1,63
,32.5,27.9,37.9,2.2,62
,31.7,26.2,37.5,2,59
,30.6,26.9,37.4,2.5,64
,31,25.3,36.9,2.3,58
,30.4,26.1,37.4,2.3,56
,29.9,26,37,1.7,64
,29.8,25.9,35.5,2.7,66
,29.9,25.5,35.5,2.2,63
,30.1,26.7,35.3,2.6,67
,29.2,26.4,34.8,2.7,62
,27.9,25.3,31.7,3.1,61
,28.2,24,34.7,2.4,64
,29.5,24.4,34.9,2,56
,30.5,26.1,36.5,2.8,54
,28.8,23.8,34.8,3.4,65
,20.8,19.2,25.3,3.5,95
,23.1,19.5,28.5,1.3,80
,25.5,20.2,31.5,1.8,72
,27,22.7,32.1,2.7,66
,28.8,23.8,33,2.4,59
,28.2,23.3,33.5,3.7,55
,28.9,24.7,34.3,2.4,54
,29.4,25.1,34.2,3.5,55
,30.1,25.6,35,3.7,56
,28.6,24.6,33.3,5.8,60
,28.2,23.7,34.1,5.5,61
,24.3,21.7,29.1,2.5,77
,27.1,23.1,33.6,2.8,59
,26.4,21.1,32.6,2.8,51
,20.9,18.2,27.2,2.1,78
,23.6,20.6,28.7,2.8,63
,22.3,17.7,27,1.9,36
,22.1,14,28.8,2,42
,22.1,15.7,29.4,3.2,49
,24.1,19.4,29.5,2.2,52
,23.8,18.4,30.1,2.5,51
,23.1,20.5,26.2,2.4,57
,19.5,18.6,23.4,2.2,73
,20.6,17.2,24.3,1.7,74
,17.5,15.7,21.8,2.7,93
,15.7,14.6,16.8,2.2,89
,16.3,14.4,18.1,1.1,89
,17.6,16.6,19,1,93
,18.7,17.7,20.3,1.6,98
,20.2,18.5,24.4,1.4,93
,20.7,16.2,28.1,1.5,74
,20.4,15,26.4,2.5,59
,20.8,14.9,26.8,1.8,54
,20.4,17.9,23.6,5,45
,15.2,13.2,20.5,4,80
,15.9,13.7,18.7,3.1,80
,15.7,15.1,17,1.3,89
,17.7,12.6,25.1,1.5,72
,19.3,11.9,27.3,1.4,62
,19.9,14.9,23.7,2.2,46
,16.7,11.2,23.4,1.4,50
,16.7,9.7,24.6,1.9,51
,17.3,10,25.2,1.4,48
,17.1,10.1,25.4,1.5,56
,19,12.7,25.5,1.8,50
,18.1,16,21.2,1.9,59
,17.1,14.4,21.1,1.6,63
,16.5,11.1,21.4,2.2,62
,16,11.8,21,2.1,35
,13.8,5.5,23.1,1.2,42
,14.2,8.3,21,2.1,44
,16.1,9.3,23.1,2.4,49
,14.5,12.6,19,2.7,61
,14.5,11.6,19.4,1.4,79
,14.5,9.4,21.2,1,74
,14.1,9.3,19.3,1.5,74
,16.5,12,22.7,2.7,63
,16.5,13.9,20.4,3.9,52
,13.8,10.7,18.1,3.5,53
,12,10.1,14.6,2.2,77
,11.5,10.3,13.7,1.5,90
,14,8.9,20.4,2.5,72
,13.8,8.5,20.1,1.8,59
,14.2,7.5,21.5,1.4,55
,17.4,14,23.4,2.9,53
,12.8,7.1,20.4,1.6,39
,11.8,4.3,20.3,1.2,48
,15.4,8.1,25,3.2,39
,16.4,9.2,24.5,2.7,28
,16.8,11,24.9,3.4,28
,14.9,7.3,23,1.3,38
,13.5,6.8,20.3,2.1,49
,16.6,11.7,23.6,4.2,43
,13.2,11.2,18.3,3.4,46
,11.7,10.5,13.6,2.3,51
,7.6,6.4,11,1.2,82
,6.6,5.8,7.6,1.6,89
,6.8,6.2,8.8,1.8,89
,7.3,1.4,14.6,1.4,80
,8.7,2.8,15.1,1.6,78
,9,8,11.7,1.4,91
,7.7,5,12.2,1.5,94
,7.5,3.3,13,1.1,89
,6.8,2.9,11.1,1.4,89
,8,6.1,9.1,1.3,90
,8.4,7.2,9.6,1.6,86
,5,3.5,7.2,2,94
,4.8,2.1,7.3,1.1,80
,7.4,4.6,12.7,2,58
,4.1,-0.3,11.5,1.2,71
,4.6,0.4,9.1,1.2,77
,7.3,2.8,12.2,2.5,46
,4,-1.8,11.7,0.9,58
,5.9,-0.6,14.8,1,65
,7.9,2.7,13.3,1.4,62
,7.1,1.1,14.8,1.1,67
,8.9,2.8,15.6,2.6,56
,9,7.1,12.5,1.6,47
,6.7,1.3,13.7,1.2,57
,6.5,2,11,1.1,63
,9.3,6.8,12.4,1.9,59
,6.4,2,10,1.9,77
,7,5.6,9.6,2.6,78
,7.3,6.1,9.7,1.9,35
,5.5,4,7.2,3.1,32
,3.6,1.7,5.5,2.1,66
,1.4,-1.3,4,1.3,66
,-0.2,-1.2,2.6,3.6,29
,-3.2,-4.5,-0.9,4,25
,-2.4,-4.9,1,2.4,42
,-1.2,-4.2,1.3,1.4,56
,-2,-4.2,1.4,2,45
,-3.4,-7.4,2.4,1.7,36
,-1.6,-7.1,4.2,1.5,42
,0.3,-2.5,2.3,1.8,42
,5.1,1.3,11,2.3,34
,6.2,0.6,14.5,2.5,37
,4.3,-2.2,12.4,1,45
,3.8,-2.1,12.3,0.8,47
,4.5,1.4,8.8,1.6,50
,3.9,-1.4,9.1,1.5,48
,4.7,0.4,7.6,1.3,47
,5.1,3.8,7.8,1.3,50
,1.6,0.5,4.6,2.5,43
,1.1,-2.3,4.2,1.5,38
,4.4,2.7,6.8,1.8,44
,2.1,0.2,5.4,3.3,45
,0.3,-1.2,3.1,3.1,66
,-2.3,-3.9,-0.8,2.2,39
,-2.7,-4.3,0.2,2.3,35
,-3.9,-7.4,0.1,3.3,37
,-2.1,-4.2,0.8,2.7,42
